진료개시년도,진료형태소분류코드,시도코드,시도시군구코드,주상병분류,진료인원(명),진료비(천원)
2021,한방기관입원,서울특별시,성동구,달리 분류되지 않은 증상  징후와 임상 및 검사의 이상 소견[R00-R99],17,9556
2021,한방기관입원,서울특별시,성동구,손상  중독및 외인에 의한 특정 기타 결과[S00-T98],147,196341
2021,한방기관입원,서울특별시,성동구,건강상태 및 보건서비스 접촉에 영향을 주는 요인[Z00-Z99],*,*
2021,한방기관입원,서울특별시,성동구,특수목적코드[U00-U99],58,65026
2021,한방기관입원,서울특별시,광진구,특정감염성 및 기생충성 질환[A00-B99],*,*
2021,한방기관입원,서울특별시,광진구,신생물[C00-D48],116,262714
2021,한방기관입원,서울특별시,광진구,내분비  영양 및 대사질환[E00-E90],15,10741
2021,한방기관입원,서울특별시,광진구,정신 및 행동장애[F00-F99],56,177581
2021,한방기관입원,서울특별시,광진구,신경계의 질환[G00-G99],112,160296
2021,한방기관입원,서울특별시,광진구,귀 및 유양돌기의 질환[H60-H95],8,12661
2021,한방기관입원,서울특별시,광진구,순환기계의 질환[I00-I99],128,185390
2021,한방기관입원,서울특별시,광진구,호흡기계의 질환[J00-J99],15,29290
2021,한방기관입원,서울특별시,광진구,소화기계의 질환[K00-K93],20,21048
2021,한방기관입원,서울특별시,광진구,근골격계 및 결합조직의 질환[M00-M99],343,538195
2021,한방기관입원,서울특별시,광진구,비뇨생식기계의 질환[N00-N99],10,9991
2021,한방기관입원,서울특별시,광진구,선천성기형  변형 및 염색체 이상[Q00-Q99],*,*
2021,한방기관입원,서울특별시,광진구,달리 분류되지 않은 증상  징후와 임상 및 검사의 이상 소견[R00-R99],28,28062
2021,한방기관입원,서울특별시,광진구,손상  중독및 외인에 의한 특정 기타 결과[S00-T98],175,239995
2021,한방기관입원,서울특별시,광진구,건강상태 및 보건서비스 접촉에 영향을 주는 요인[Z00-Z99],8,4698
2021,한방기관입원,서울특별시,광진구,특수목적코드[U00-U99],45,41850
2021,한방기관입원,서울특별시,동대문구,특정감염성 및 기생충성 질환[A00-B99],8,9332
2021,한방기관입원,서울특별시,동대문구,신생물[C00-D48],121,261237
2021,한방기관입원,서울특별시,동대문구,혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애[D50-D89],*,*
2021,한방기관입원,서울특별시,동대문구,내분비  영양 및 대사질환[E00-E90],21,83144
2021,한방기관입원,서울특별시,동대문구,정신 및 행동장애[F00-F99],70,290778
2021,한방기관입원,서울특별시,동대문구,신경계의 질환[G00-G99],164,261531
2021,한방기관입원,서울특별시,동대문구,눈및눈부속기의 질환[H00-H59],*,*
2021,한방기관입원,서울특별시,동대문구,귀 및 유양돌기의 질환[H60-H95],5,2970
2021,한방기관입원,서울특별시,동대문구,순환기계의 질환[I00-I99],146,317553
2021,한방기관입원,서울특별시,동대문구,호흡기계의 질환[J00-J99],12,7207
2021,한방기관입원,서울특별시,동대문구,소화기계의 질환[K00-K93],31,54370
2021,한방기관입원,서울특별시,동대문구,피부 및 피하조직의 질환[L00-L99],*,*
2021,한방기관입원,서울특별시,동대문구,근골격계 및 결합조직의 질환[M00-M99],347,559245
2021,한방기관입원,서울특별시,동대문구,비뇨생식기계의 질환[N00-N99],18,18768
2021,한방기관입원,서울특별시,동대문구,달리 분류되지 않은 증상  징후와 임상 및 검사의 이상 소견[R00-R99],38,32663
2021,한방기관입원,서울특별시,동대문구,손상  중독및 외인에 의한 특정 기타 결과[S00-T98],165,268476
2021,한방기관입원,서울특별시,동대문구,건강상태 및 보건서비스 접촉에 영향을 주는 요인[Z00-Z99],*,*
2021,한방기관입원,서울특별시,동대문구,특수목적코드[U00-U99],85,93189
2021,한방기관입원,서울특별시,중랑구,특정감염성 및 기생충성 질환[A00-B99],*,*
2021,한방기관입원,서울특별시,중랑구,신생물[C00-D48],130,225411
2021,한방기관입원,서울특별시,중랑구,혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애[D50-D89],*,*
2021,한방기관입원,서울특별시,중랑구,내분비  영양 및 대사질환[E00-E90],25,15945
2021,한방기관입원,서울특별시,중랑구,정신 및 행동장애[F00-F99],69,236999
2021,한방기관입원,서울특별시,중랑구,신경계의 질환[G00-G99],166,161311
2021,한방기관입원,서울특별시,중랑구,눈및눈부속기의 질환[H00-H59],*,*
2021,한방기관입원,서울특별시,중랑구,귀 및 유양돌기의 질환[H60-H95],*,*
2021,한방기관입원,서울특별시,중랑구,순환기계의 질환[I00-I99],135,316369
2021,한방기관입원,서울특별시,중랑구,호흡기계의 질환[J00-J99],15,6528
2021,한방기관입원,서울특별시,중랑구,소화기계의 질환[K00-K93],41,24008
2021,한방기관입원,서울특별시,중랑구,피부 및 피하조직의 질환[L00-L99],11,939
2021,한방기관입원,서울특별시,중랑구,근골격계 및 결합조직의 질환[M00-M99],390,522782
2021,한방기관입원,서울특별시,중랑구,비뇨생식기계의 질환[N00-N99],26,18263
2021,한방기관입원,서울특별시,중랑구,달리 분류되지 않은 증상  징후와 임상 및 검사의 이상 소견[R00-R99],56,67573
2021,한방기관입원,서울특별시,중랑구,손상  중독및 외인에 의한 특정 기타 결과[S00-T98],188,233941
2021,한방기관입원,서울특별시,중랑구,건강상태 및 보건서비스 접촉에 영향을 주는 요인[Z00-Z99],9,9479
2021,한방기관입원,서울특별시,중랑구,특수목적코드[U00-U99],90,73952
2021,한방기관입원,서울특별시,성북구,특정감염성 및 기생충성 질환[A00-B99],7,9032
2021,한방기관입원,서울특별시,성북구,신생물[C00-D48],164,294887
2021,한방기관입원,서울특별시,성북구,혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애[D50-D89],*,*
2021,한방기관입원,서울특별시,성북구,내분비  영양 및 대사질환[E00-E90],23,13787
